movement_id,product_id,warehouse_id,movement_date,movement_type,quantity,unit_price,purchase_id
1,1,1,2026-04-01,OUT,148,115388,
2,2,1,2026-02-14,IN,27,35506,2
3,3,1,2026-01-01,IN,70,14290,1
4,3,3,2026-02-16,IN,160,117524,3
5,2,2,2026-02-28,OUT,40,139836,
6,1,2,2026-03-06,OUT,130,88512,
7,2,2,2026-01-20,OUT,33,43746,
8,3,1,2026-04-13,OUT,119,23022,
9,3,2,2026-04-17,IN,185,123653,5
10,2,2,2026-02-02,OUT,87,123108,
11,3,1,2026-05-23,IN,175,39944,7
12,1,2,2026-03-19,OUT,199,118291,
13,3,3,2026-01-25,OUT,131,71980,
14,1,1,2026-03-15,OUT,134,89964,
15,1,2,2026-03-12,IN,124,52910,4
16,1,2,2026-04-26,IN,61,136736,6
17,1,3,2026-03-03,OUT,169,18022,
18,4,1,2026-03-21,OUT,192,108802,
19,2,3,2026-03-11,OUT,78,37943,
